"email","first_name","last_name","company","city","country"
"posao@lagermax-aed.hr","","","Lagermax Logistics Croatia d.o.o. za međunarodno otpremništvo","LUKA","Hrvatska"
"marketing@metalija-trans.hr","","","METALIJA-TRANS društvo s ograničenom odgovornošću za proizvodnju, promet i trgovinu","POŽEGA","Hrvatska"
"info@lscs.hr","","","LANERIS d.o.o. za poslovne usluge","VELIKA GORICA","Hrvatska"
"info@luxlog.hr","","","LuxLog društvo s ograničenom odgovornošću za usluge i trgovinu","SVETI IVAN ZELINA","Hrvatska"
"staklodomgrupa.posao@gmail.com","","","STAKLO DOM GRUPA d.o.o. za proizvodnju i trgovinu","OSIJEK","Hrvatska"
"dijana@omega.hr","","","OMEGA društvo s ograničenom odgovornošću za preradu metala i trgovinu","VINIČNO","Hrvatska"
"nrojni1@gmail.com","","","SPORT PLUS društvo s ograničenom odgovornošću za turizam, trgovinu i usluge","FAŽANA-FASANA","Hrvatska"
"dubrovniknautical@gmail.com","","","Dubrovnik Nautical Tours društvo s ograničenom odgovornošću za usluge u nautičkom turizmu, turistička agencija","DUBROVNIK","Hrvatska"
"info@vilicomerce.hr","","","VILI COMERCE društvo s ograničenom odgovornošću, za proizvodnju, trgovinu i usluge","ZABOK","Hrvatska"
"ljudski.potencijali@cromaris.hr","","","CROMARIS dioničko društvo za marikulturu","KALI","Hrvatska"
"kadrovskasluzba@gppmikic.hr","","","NAUTICA MARE d.o.o. za turizam, trgovinu i usluge","NOVI VINODOLSKI","Hrvatska"
"fortunalyachting@ymail.com","","","FORTUNAL YAHTING turistički obrt vl. Goran Andrić","SUTIVAN","Hrvatska"
"info@mirconi-rv.com","","","MIRCONI društvo s ograničenom odgovornošću za turizam i usluge","ROVINJ-ROVIGNO","Hrvatska"
"karijera@visokistandard.com","","","VISOKI STANDARD d.o.o. za završne radove u građevinarstvu","SPLIT","Hrvatska"
"rijekatank@rijekatank.hr","","","RIJEKATANK ekologija i zaštita okoliša, društvo s ograničenom odgovornošću","RIJEKA","Hrvatska"
"kadrovska@marinafrapa.hr","","","LAGUNA TRADE, d.o.o. za marine, turizam, trgovinu i usluge","ROGOZNICA","Hrvatska"
"martina.vojvodic@ajukic.hr","","","JUKIĆ društvo s ograničenom odgovornošću za proizvodnju i trgovinu","ZAGREB","Hrvatska"
"ivana@mayoko.hr","","","MAYOKO društvo s ograničenom odgovornošću za usluge","VODICE","Hrvatska"
"zaghr@havas.net","","","HAVAS - Zemaljske usluge društvo s ograničenom odgovornošću za usluge","VELIKA GORICA","Hrvatska"
"jobs@rockandlog.com","","","Rock 'n' Log društvo s ograničenom odgovornošću za logistiku i prijevoz","ZAGREB-SLOBOŠTINA","Hrvatska"
"dilberlogistika@gmail.com","","","DILBER LOGISTIKA društvo s ograničenom odgovornošću za prijevoz i usluge","VODICE","Hrvatska"
"ljudski.potencijali@colas.hr","","","COLAS HRVATSKA d.d. za rekonstrukciju i izgradnju cesta i ostalih objekata niskogradnje","HRASTOVLJAN","Hrvatska"
"mirela.bjelanovic@pzc-bjelovar.hr","","","PODUZEĆE ZA CESTE d.o.o.","BJELOVAR","Hrvatska"
"tittvrtka@gmail.com","","","T&T d.o.o. za gospodarenje šumama","ŠODOLOVCI","Hrvatska"
"marko.katrancek@gmail.com","","","JMV društvo s ograničenom odgovornošću za trgovinu i usluge","DRAGA","Hrvatska"
"posao@destilerijasimic.com","","","OBRT WILLIAMS, vl. Zlatko Šimić, Štitnjak, Štitnjak 2 A","ŠTITNJAK","Hrvatska"
