"email","first_name","last_name","company","city","country"
"streetpizzahr@gmail.com","","","STREET PIZZA, obrt za ugostiteljstvo, vl. Danijel Bartok, Vardarac, Lajoša Košuta 60","BILJE","Hrvatska"
"posao@adhikari.hr","","","ADHIKARI društvo s ograničenom odgovornošću za posredovanje u zapošljavanju","ČAKOVEC","Hrvatska"
"goran.milos4@gmail.com","","","PROTOKOL OSIJEK društvo s ograničenom odgovornošću za ugostiteljstvo i turizam","OSIJEK","Hrvatska"
"beertija.tvrdja@gmail.com","","","Beertija Tvrđa društvo s ograničenom odgovornošću za ugostiteljstvo i usluge","OSIJEK","Hrvatska"
"hotel.villa.valpovo@gmail.com","","","HOTEL VILLA VALPOVO, ugostiteljski obrt, vl. Gordana Milec, Valpovo, Bana Josipa Jelačića 1","BELIŠĆE","Hrvatska"
"varna@wakeboarder.hr","","","SVIJET MORA društvo s ograničenom odgovornošću za turizam i ugostiteljstvo","KRK","Hrvatska"
"sales@hote-sanantonio.com","","","HOTEL SAN ANTONIO društvo s ograničenom odgovornošću za turizam i usluge, turistička agencija","PODSTRANA","Hrvatska"
"rklimes@prima-namjestaj.hr","","","PRIMA COMMERCE društvo za trgovinu, proizvodnju i usluge s ograničenom odgovornošću","SISAK","Hrvatska"
"dom@ucenicki-dom-lovran.hr","","","UČENIČKI DOM LOVRAN","LOVRAN","Hrvatska"
"scri.uniri@scri.hr","","","Sveučilište u Rijeci STUDENTSKI CENTAR RIJEKA","RIJEKA","Hrvatska"
"info@dom-svetakatarina.hr","","","DOM ZA STARIJE I NEMOĆNE OSOBE SVETA KATARINA","OKUNŠĆAK","Hrvatska"
"info@fundus-comitis.hr","","","FUNDUS COMITIS društvo s ograničenom odgovornošću za ugostiteljstvo i trgovinu","PREKRIŽJE PLEŠIVIČKO","Hrvatska"
"info@charter-novak.com","","","CHARTER-NOVAK društvo s ograničenom odgovornošću za iznajmljivanje plovila","BIOGRAD NA MORU","Hrvatska"
"masa@cul-tourist.com","","","Cultourist, obrt za komunikacije i digitalni marketing, vl. Maša Pavičić, Sukošan, Tustica 1","ZADAR","Hrvatska"
"info@nautica-komiza.com","","","NAUTIČKI CENTAR KOMIŽA, d.o.o. za usluge u nautičkom turizmu, ostale lučke usluge, komunalne djelatnosti i graditeljstvo","BIŠEVO","Hrvatska"
"udim-zg@zg.t-com.hr","","","Učenički dom Ivana Mažuranića","ZAGREB","Hrvatska"
"info@galerija.hr","","","GRGOIĆ d.o.o. za trgovinu, usluge i proizvodnju","ZAGREB","Hrvatska"
"ivlevak@gmail.com","","","COCOMO društvo s ograničenom odgovornošću za ugostiteljstvo i turistička agencija","NOVALJA","Hrvatska"
