"email","first_name","last_name","company","city","country"
"posao@hotel-turist.hr","","","TURIST društvo s ograničenom odgovornošću za ugostiteljstvo i trgovinu","VARAŽDIN","Hrvatska"
"karolina.vukoja104@gmail.com","","","PIZZA & GRILL BAR AUREA j.d.o.o. za ugostiteljstvo i usluge","PLETERNICA","Hrvatska"
"generalmanager@villa-schubert.com","","","IKA BELLEVUE turizam, ugostiteljstvo i trgovina društvo s ograničenom odgovornošću","IKA","Hrvatska"
"backoffice@hotel-miramar.info","","","HOTEL MIRAMAR društvo s ograničenom odgovornošću za ugostiteljstvo","OPATIJA","Hrvatska"
"servisamb.sb@gmail.com","","","BERTANJOLI j.d.o.o. za usluge","SLAVONSKI BROD","Hrvatska"
"mkovacevic@komunalac-bj.hr","","","KOMUNALAC društvo s ograničenom odgovornošću za obavljanje komunalnih djelatnosti","BJELOVAR","Hrvatska"
"natjecaji@spec-usluge.hr","","","S.P.E.C. usluge društvo s ograničenom odgovornošću za čišćenje svih vrsta objekata","ZAGREB","Hrvatska"
"husaina@reiwag.hr","","","Reiwag Facility Services društvo s ograničenom odgovornošću za upravljanje nekretninama","ZAGREB","Hrvatska"
"info@keckes.hr","","","KEČKEŠ društvo s ograničenom odgovornošću za proizvodnju i usluge","PRELOG","Hrvatska"
"skozul92@gmail.com","","","VESCOR, obrt za ugostiteljstvo, vl. Stipe Kožul, Zadar, Ante Starčevića 11 C","RAŽANAC","Hrvatska"
"stipe.tadic90@gmail.com","","","F-TOURS INTERNATIONAL, putnička agencija d.o.o.","SPLIT","Hrvatska"
"kadrovskasluzba@gppmikic.hr","","","G. P. P. MIKIĆ društvo s ograničenom odgovornošću za građenje, proizvodnju, projektiranje, putničke agencije i brodogradnju","MALINSKA","Hrvatska"
"posao@posta.hr","","","HP - Hrvatska pošta d.d.","RIJEKA","Hrvatska"
"maria.grego@adria-grupa.hr","","","ADRIA GRUPA društvo s ograničenom odgovornošću za trgovinu, usluge, posredovanje i putnička agencija","RIJEKA","Hrvatska"
"agramsquaddelivery@gmail.com","","","Agram Squad d.o.o.","SPLIT","Hrvatska"
"streetpizzahr@gmail.com","","","STREET PIZZA, obrt za ugostiteljstvo, vl. Danijel Bartok, Vardarac, Lajoša Košuta 60","BILJE","Hrvatska"
"posao@adhikari.hr","","","ADHIKARI društvo s ograničenom odgovornošću za posredovanje u zapošljavanju","ČAKOVEC","Hrvatska"
"goran.milos4@gmail.com","","","PROTOKOL OSIJEK društvo s ograničenom odgovornošću za ugostiteljstvo i turizam","OSIJEK","Hrvatska"
"beertija.tvrdja@gmail.com","","","Beertija Tvrđa društvo s ograničenom odgovornošću za ugostiteljstvo i usluge","OSIJEK","Hrvatska"
"hotel.villa.valpovo@gmail.com","","","HOTEL VILLA VALPOVO, ugostiteljski obrt, vl. Gordana Milec, Valpovo, Bana Josipa Jelačića 1","BELIŠĆE","Hrvatska"
"varna@wakeboarder.hr","","","SVIJET MORA društvo s ograničenom odgovornošću za turizam i ugostiteljstvo","KRK","Hrvatska"
"sales@hote-sanantonio.com","","","HOTEL SAN ANTONIO društvo s ograničenom odgovornošću za turizam i usluge, turistička agencija","PODSTRANA","Hrvatska"
"rklimes@prima-namjestaj.hr","","","PRIMA COMMERCE društvo za trgovinu, proizvodnju i usluge s ograničenom odgovornošću","SISAK","Hrvatska"
"dom@ucenicki-dom-lovran.hr","","","UČENIČKI DOM LOVRAN","LOVRAN","Hrvatska"
"scri.uniri@scri.hr","","","Sveučilište u Rijeci STUDENTSKI CENTAR RIJEKA","RIJEKA","Hrvatska"
"info@dom-svetakatarina.hr","","","DOM ZA STARIJE I NEMOĆNE OSOBE SVETA KATARINA","OKUNŠĆAK","Hrvatska"
"info@fundus-comitis.hr","","","FUNDUS COMITIS društvo s ograničenom odgovornošću za ugostiteljstvo i trgovinu","PREKRIŽJE PLEŠIVIČKO","Hrvatska"
"info@charter-novak.com","","","CHARTER-NOVAK društvo s ograničenom odgovornošću za iznajmljivanje plovila","BIOGRAD NA MORU","Hrvatska"
"masa@cul-tourist.com","","","Cultourist, obrt za komunikacije i digitalni marketing, vl. Maša Pavičić, Sukošan, Tustica 1","ZADAR","Hrvatska"
"info@nautica-komiza.com","","","NAUTIČKI CENTAR KOMIŽA, d.o.o. za usluge u nautičkom turizmu, ostale lučke usluge, komunalne djelatnosti i graditeljstvo","BIŠEVO","Hrvatska"
"udim-zg@zg.t-com.hr","","","Učenički dom Ivana Mažuranića","ZAGREB","Hrvatska"
"info@galerija.hr","","","GRGOIĆ d.o.o. za trgovinu, usluge i proizvodnju","ZAGREB","Hrvatska"
"ivlevak@gmail.com","","","COCOMO društvo s ograničenom odgovornošću za ugostiteljstvo i turistička agencija","NOVALJA","Hrvatska"
"info@ortran.hr","","","ORTRAN društvo s ograničenom odgovornošću za trgovinu i prijevoz","OSIJEK","Hrvatska"
