"email","first_name","last_name","company","city","country"
"posao@alh.hr","","","JADRANSKI LUKSUZNI HOTELI dioničko društvo za ugostiteljstvo, turizam i putnička agencija","DUBROVNIK","Hrvatska"
"kadrovska@hotel-ivka.com","","","IVKA d.o.o. za trgovinu, turizam i graditeljstvo","DUBROVNIK","Hrvatska"
"kadrovska@rgn.hr","","","SVEUČILIŠTE U ZAGREBU RUDARSKO-GEOLOŠKO-NAFTNI FAKULTET","ZAGREB","Hrvatska"
"dobrakuhinja@dobrakuhinja.hr","","","DOBRA KUHINJA d.o.o. za trgovinu i usluge","ZAGREB","Hrvatska"
"ilijapavkic@gmail.com","","","OBRT ZA IZRADU I PRODAJU OGREVNOG DRVETA ""PAVKIĆ"" VL. ILIJA PAVKIĆ POS PODGAJCI, M.GUPCA 304","POSAVSKI PODGAJCI","Hrvatska"
"liana.brkic@socskrb.hr","","","Centar za pružanje usluga u zajednici Zadar","ZADAR","Hrvatska"
"diana_valcic@hotmail.com","","","TAJANIS, obrt za upravljanje nekretninama, vl. Diana Valčić, Zadar, Gradišćanskih Hrvata 50","ZADAR","Hrvatska"
"zameoihvjetar@hotmail.com","","","GANGARO, obrt za ugostiteljstvo, vl. Bartul Bašić, Murter, Ulica Hrvatskih vladara 5","MURTER","Hrvatska"
"posao@hotel-turist.hr","","","TURIST društvo s ograničenom odgovornošću za ugostiteljstvo i trgovinu","VARAŽDIN","Hrvatska"
"karolina.vukoja104@gmail.com","","","PIZZA & GRILL BAR AUREA j.d.o.o. za ugostiteljstvo i usluge","PLETERNICA","Hrvatska"
"generalmanager@villa-schubert.com","","","IKA BELLEVUE turizam, ugostiteljstvo i trgovina društvo s ograničenom odgovornošću","IKA","Hrvatska"
"backoffice@hotel-miramar.info","","","HOTEL MIRAMAR društvo s ograničenom odgovornošću za ugostiteljstvo","OPATIJA","Hrvatska"
"dom.buzet@gmail.com","","","Dom za starije osobe Buzet","BUZET","Hrvatska"
"mbrig.turizam@gmail.com","","","M BRIG d.o.o. za ugostiteljstvo i turizam","MREŽNIČKI BRIG","Hrvatska"
"info@vallum-hotel.com","","","OTOK SUPETAR d.o.o. za turizam i usluge","CAVTAT","Hrvatska"
"hr@bota-sare.hr","","","TIMUNJER d.o.o. za ugostiteljstvo, turizam i trgovinu","DUBROVNIK","Hrvatska"
"kingsworldofkebap@gmail.com","","","KING d.o.o. za ugostiteljstvo i usluge","SLAVONSKI BROD","Hrvatska"
"servisamb.sb@gmail.com","","","BERTANJOLI j.d.o.o. za usluge","SLAVONSKI BROD","Hrvatska"
"mkovacevic@komunalac-bj.hr","","","KOMUNALAC društvo s ograničenom odgovornošću za obavljanje komunalnih djelatnosti","BJELOVAR","Hrvatska"
"tajnistvo@sedma.hr","","","VII. GIMNAZIJA","ZAGREB","Hrvatska"
"natjecaji@spec-usluge.hr","","","S.P.E.C. usluge društvo s ograničenom odgovornošću za čišćenje svih vrsta objekata","ZAGREB","Hrvatska"
"husaina@reiwag.hr","","","Reiwag Facility Services društvo s ograničenom odgovornošću za upravljanje nekretninama","ZAGREB","Hrvatska"
