"email","first_name","last_name","company","city","country"
"tamarakljunic888@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE REMENAR, obrt za usluge socijalne skrbi smještaja, vl. Tamara Remenar, Bjelovar, Miroslava Krleže 136","BJELOVAR","Hrvatska"
"domjurakic@gmail.com","","","Dom za starije i nemoćne osobe JURAKIĆ","ZAGREB","Hrvatska"
"posao.medisal@gmail.com","","","Dom za starije osobe MEDISAL","ZAGREB-DUBRAVA","Hrvatska"
"dobridom@net.hr","","","Dom za starije i nemoćne osobe Dobri dom Vinkovci","VINKOVCI","Hrvatska"
"ustanovapintar@gmail.com","","","USTANOVA PINTAR, dom za starije","STUBIČKE TOPLICE","Hrvatska"
"sanatorij.vitalis@gmail.com","","","SANATORIJ AV-VITALIS-DOM ZA STARIJE I NEMOĆNE OSOBE","ZAGREB-SUSEDGRAD","Hrvatska"
"domsimicosijek@gmail.com","","","DOM ŠIMIĆ jednostavno društvo s ograničenom odgovornošću za usluge","OSIJEK","Hrvatska"
"ravnatelj@kuca-sv-franje.hr","","","Dom za starije i nemoćne osobe KUĆA SVETOG FRANJE","ZAGREB-NOVI ZAGREB","Hrvatska"
"ljudskiresursi1@seniorgarden.hr","","","Dom za starije osobe Senior Garden","ZAGREB","Hrvatska"
"aleksandra.kelava@gmail.com","","","Obiteljski dom Kelava","PODCRKAVLJE","Hrvatska"
"kmbelav@gmail.com","","","BELAVIĆ USLUGE d.o.o. za trgovinu i usluge","KARLOVAC","Hrvatska"
"tajnistvo@pbl.hr","","","PSIHIJATRIJSKA BOLNICA LOPAČA","LOPAČA","Hrvatska"
"amalovric@gmail.com","","","AZ Magdalena j.d.o.o. socijalne usluge","TOMPOJEVCI","Hrvatska"
"domzastarije.ramona@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE RAMONA j.d.o.o. za usluge","NOVSKA","Hrvatska"
"info@seniorcare.hr","","","Dom za starije i teško bolesne odrasle osobe Senior Care","KRIŽEVCI","Hrvatska"
