"email","first_name","last_name","company","city","country"
"dom.villamarija@gmail.com","","","Najbolje godine društvo s ograničenom odgovornošću za socijalne usluge, pomoć u kući, dom za starije, dnevni boravak","KLEK","Hrvatska"
"pisarnica@bolnica-du.hr","","","OPĆA BOLNICA DUBROVNIK","DUBROVNIK","Hrvatska"
"kadrovska@pulmologija.hr","","","Specijalna bolnica za plućne bolesti","ZAGREB","Hrvatska"
"aleksandra@agram-employment.hr","","","Agram employment d.o.o. za posredovanje pri zapošljavanju","ZAGREB","Hrvatska"
"kdjebnar@gmail.com","","","OBITELJSKI DOM ĐEBNAR KLARA","LOVRAN","Hrvatska"
"pisarnica@obpula.hr","","","Opća bolnica Pula - Ospedale Generale di Pola","PULA-POLA","Hrvatska"
"dzs.tauscher@gmail.com","","","HRVATSKA PROVINCIJA KARMELIĆANKI BOŽANSKOG SRCA ISUSOVA","POREDJE","Hrvatska"
"dom.majdenic@gmail.com","","","Dom za starije i nemoćne osobe MOJ DOM MAJDENIĆ","DONJI MIHOLJAC","Hrvatska"
"dom-smiraj@net.hr","","","DOM SMIRAJ, obrt za smještaj starijih osoba, vl. Ines Siladić, Ludbreg, Bednjanska ulica 14 A","LUDBREG","Hrvatska"
"info@zlatnodoba.hr","","","ZLATNO DOBA d.o.o. za socijalne usluge i smještaj","GORNJA PUŠĆA","Hrvatska"
"domsamobor@gmail.com","","","ZALU USLUGE društvo s ograničenom odgovornošću za usluge","BREGANA","Hrvatska"
"blanka.sarovic@gmail.com","","","SENECTUS NOBIS j.d.o.o. za usluge","ZADAR","Hrvatska"
"zlatkaprtenjaca@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE SVETA MARTA, obrt za usluge socijalne skrbi sa smještajem za starije i nemoćne osobe, vl. Zlatka Prtenjača, Poljica, Po","POLJICA","Hrvatska"
"sulermelita@gmail.com","","","OBITELJSKI DOM ZA STARE I NEMOĆNE OSOBE","FUŽINE","Hrvatska"
"trsek@trsek.hr","","","OBITELJSKI DOM ZA STARIJE I NEMOĆNE OSOBE ""TRSEK""","DESINIĆ","Hrvatska"
"neuron.hrvatska@gmail.com","","","UDRUGA OSOBA OBOLJELIH OD ALS-A I DRUGIH RIJETKIH BOLESTI 'NEURON'","ZAGREB","Hrvatska"
"mdespot@gmail.com","","","OBITELJSKI DOM SVETA KATARINA, obrt za usluge, vl. Mario Despot, Duga Resa, Domobranska 56 B","DUGA RESA","Hrvatska"
"dom.cvjetnidom@gmail.com","","","CVJETNI DOM, dom za starije osobe","SPLIT","Hrvatska"
"ravnatelj-dom@dom-lekic.com","","","DOM SOCIJALNE SKRBI ZA STARIJE I NEMOĆNE OSOBE VARAŽDIN","VARAŽDIN","Hrvatska"
"andrijana.sasko21@gmail.com","","","OBITELJSKI DOM ŠAŠKO","KUNĐEVAC","Hrvatska"
"dom.provita@gmail.com","","","OBITELJSKI DOM ZA STARIJE I NEMOĆNE ""PRO VITA""","IVANIĆ GRAD","Hrvatska"
"ljubicaskrbnik@gmail.com","","","SKRBNIK LJUBICA OBITELJSKI DOM MILJA","GORNJE VRATNO","Hrvatska"
"dom-tadic@hotmail.com","","","OBITELJSKI DOM TADIĆ, obrt za usluge, vl. Mario Tadić, Dugo Selo, Ulica Tome Košćeca 3","DUGO SELO","Hrvatska"
"ravnateljica.domivana@gmail.com","","","Dom za starije i nemoćne osobe, IVANA","DUBRAVA","Hrvatska"
"dom.sveti.antun@gmail.com","","","Dom za starije osobe Sv. Antun","ŠAG","Hrvatska"
"domsv.anazelcin@gmail.com","","","Dom za starije i nemoćne osobe Sv. Ane Zelčin","ZELČIN","Hrvatska"
"centar.tajnovac@gmail.com","","","Dom za starije i nemoćne osobe Tajnovac","ZOLJAN","Hrvatska"
"zvjezdana.bukovcak@gmail.com","","","OBITELJSKI DOM ZA STARIJE I NEMOĆNE - ZVJEZDANA BUKOVČAK","SESVETE","Hrvatska"
"dom@dombene-vita.hr","","","Dom za starije i nemoćne osobe BENE VITA","ZAGREB","Hrvatska"
"sv.polikarp0@gmail.com","","","Dom za starije osobe Sv.Polikarp","PULA-POLA","Hrvatska"
"mursko.sredisce@japa.com.hr","","","Dom za starije i nemoćne osobe Japa","ŠTRIGOVA","Hrvatska"
"juro.barisic@gmail.com","","","PAŽNJA d.o.o. za savjetovanje i usluge","KRALJEV VRH","Hrvatska"
"milica@sretnazvjezdica.hr","","","SRETNA ZVJEZDICA d.o.o. za trgovinu i usluge","VELIKA GORICA","Hrvatska"
"bkos2502@gmail.com","","","ZELENI TRNAC j.d.o.o. za usluge","GORNJE PSARJEVO","Hrvatska"
"info@domzastarije-slakovec.hr","","","DOM ZA STARIJE I NEMOĆNE OSOBE SLAKOVEC","SLAKOVEC","Hrvatska"
"obitelj.domksenija@gmail.com","","","OBITELJSKI DOM ZA STARIJE I NEMOĆNE OSOBE KSENIJA","DONJI MIHALJEVEC","Hrvatska"
"infodomzelenopolje@gmail.com","","","DOM ZELENO POLJE jednostavno društvo s ograničenom odgovornošću za usluge i trgovinu","BIJELO BRDO","Hrvatska"
"masa@helena-smokrovic.hr","","","USTANOVA ZA ZDRAVSTVENU NJEGU I REHABILITACIJU U KUĆI HELENA SMOKROVIĆ","RIJEKA","Hrvatska"
"pkostesic@gmail.com","","","SAMOSTALNA DJELATNOST SOCIJALNE SKRBI PETRA KOSTEŠIĆ","MEDULIN","Hrvatska"
"info@dom-vilamaria.hr","","","Dom za odrasle osobe Vila Maria","PULA-POLA","Hrvatska"
"aleksandraperan@gmail.com","","","Dom za starije i nemoćne osobe ZLATNI DANI","CISTA VELIKA","Hrvatska"
"andrija.markov@gmail.com","","","DOM ZA STARIJE OSOBE TOPLI DOM","OSIJEK","Hrvatska"
"domzastarije72@gmail.com","","","OBITELJSKI DOM ZA STARIJE I NEMOĆNE OSOBE LOVRAN","LOVRAN","Hrvatska"
"anto@dom-biser.hr","","","Dom za psihički bolesne odrasle osobe BISER","IVANIĆ GRAD","Hrvatska"
"karijera@zlatnidom.hr","","","CARE FOR LIFE d.o.o. za usluge","DUGO SELO","Hrvatska"
"info.dom.nova@gmail.com","","","Rakuten društvo s ograničenom odgovornošću za usluge","RAKOVEC","Hrvatska"
"info@bonum-saporem.hr","","","BONUM SAPOREM jednostavno društvo s ograničenom odgovornošću za usluge","VRBOVEČKI PAVLOVEC","Hrvatska"
"goran.vucenovic11@gmail.com","","","PEGO medical d.o.o. za trgovinu medicinskim proizvodima","ZAGREB","Hrvatska"
"sanja.mrvelj@dom-ksaver.hr","","","Dom za starije osobe Ksaver","ZAGREB","Hrvatska"
"antonij.rag@gmail.com","","","DOM RAGUŽ d.o.o. za usluge","METKOVIĆ","Hrvatska"
"dalukinovic@gmail.com","","","DOM DADO zadruga za pružanje usluga skrbi, trgovinu i usluge","ROVIŠĆE","Hrvatska"
"kadrovska@sb-insula.hr","","","Insula-županijska specijalna bolnica za psihijatriju i rehabilitaciju","KAMPOR","Hrvatska"
"ekorisnik540@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE ""VIS""","VIS","Hrvatska"
"dom-lovret@dom-lovret.hr","","","Dom za starije i nemoćne osobe Lovret, Split","SPLIT","Hrvatska"
"martina.vuksanovic17@gmail.com","","","WINDMILL jednostavno društvo s ograničenom odgovornošću za promet i usluge","BREZINE","Hrvatska"
"dimicm2814@gmail.com","","","MARINA, obrt za smještaj starijih i nemoćnih osoba, vl. Marina Dimić, Zadar, Ulica Hrvatske mornarice 1","ZADAR","Hrvatska"
"dom.atrij@gmail.com","","","Dom za starije osobe ATRIJ","DARDA","Hrvatska"
"info@dom-jadran.hr","","","Lovrić-liburna j.d.o.o. za usluge","ZAGREB","Hrvatska"
"info@dom-metaxamedical.hr","","","METAXA-MEDICAL PODUZEĆE ZA PROIZVODNJU,TRGOVINU,UGOSTITELJSTVO I PROMET S D.O.O.","NETRETIĆ","Hrvatska"
"rezidencija.kastelan@gmail.com","","","Dom za starije i nemoćne osobe REZIDENCIJA KASTELAN","TUHELJSKE TOPLICE","Hrvatska"
"dbliznjiravnateljica@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE, DRAGI BLIŽNJI","OKUČANI","Hrvatska"
"rezidencijalni.domovi@gmail.com","","","REZIDENCIJALNI DOM ZA STARIJE","OSIJEK","Hrvatska"
"upravavrbovec@caritas-bkb.hr","","","CARITAS BJELOVARSKO-KRIŽEVAČKE BISKUPIJE","VRBOVEC","Hrvatska"
"pisarnica@bolnica-bistra.hr","","","Specijalna bolnica za kronične bolesti dječje dobi Gornja Bistra","GORNJA BISTRA","Hrvatska"
"dombakaeva@gmail.com","","","BAKA EVA j.d.o.o. za usluge i trgovinu","VINKOVCI","Hrvatska"
"nataly.bilen@yahoo.com","","","OBITELJSKI DOM Nataly Bilen Milosavljević","DRIVENIK","Hrvatska"
"t.suljak@senecura.hr","","","SENECURA DOM ZA STARIJE I NEMOĆNE BJELOVAR","KLOKOČEVAC","Hrvatska"
"marinomargitic@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE ANDREA, OBRT ZA SMJEŠTAJ STARIJIH OSOBA, VL. ANDREA MARGITIĆ, CRIKVENICA, BENIĆI 62C","CRIKVENICA","Hrvatska"
"ravnatelj.kotoriba@dom-bistricak.hr","","","Dom za psihički bolesne odrasle osobe Kotoriba","KOTORIBA","Hrvatska"
"info@sestramaca.hr","","","Dom za starije i nemoćne osobe SESTRE MACE DOM","POJATNO","Hrvatska"
"ob.dom.beric@gmail.com","","","DOM ZA PSIHIČKI BOLESNE ODRASLE OSOBE Predstavnik MARTINA BERIĆ","BJELOVAR","Hrvatska"
"info@domus-humani.hr","","","DOMUS HUMANI, DOM ZA STARIJE I NEMOĆNE OSOBE, VL. MAGDALENA ŠTIMAC, SLAVONSKI BROD, ULICA STJEPANA RADIĆA 60","SLAVONSKI BROD","Hrvatska"
"domjadranka1@gmail.com","","","Dom za starije i nemoćne osobe JADRANKA","SLAVONSKI BROD","Hrvatska"
"ladaisydoo@gmail.com","","","LaDaisy društvo s ograničenom odgovornošću za usluge","BRIBIR","Hrvatska"
"dom@dom-presecki.hr","","","Dom za starije i nemoćne osobe PRESEČKI","OROSLAVJE","Hrvatska"
"info@auracentar.com","","","Dom za starije i nemoćne osobe AURA CENTAR","KLOŠTAR IVANIĆ","Hrvatska"
"dom.grandici@gmail.com","","","CENTAR ZA POMOĆ I NJEGU PULA","GRANDIĆI","Hrvatska"
"lidija.gotovac@gmail.com","","","PETRETIĆ društvo s ograničenom odgovornošću za proizvodnju i promet neprehrambenih proizvoda, unutarnju i vanjsku trgovinu, posredovanje i zastupanje","KOSTANJEVAC","Hrvatska"
"dom.mirnodoba@gmail.com","","","DOM ZA STARIJE I NEMOĆNE OSOBE MIRNO DOBA","PROZORJE","Hrvatska"
"domdolencic@gmail.com","","","Dom za starije i nemoćne osobe DOM DOLENČIĆ","BJELOVAR","Hrvatska"
"martinakelek24@gmail.com","","","KELEK MARTINA OBITELJSKI DOM","PREDAVAC","Hrvatska"
"info@zgbjl.hr","","","ZAKLADA 'BISKUP JOSIP LANG'","MALA GORICA","Hrvatska"
"smjestajadastra@gmail.com","","","SMJEŠTAJ AD ASTRA d.o.o. za građevinarstvo i usluge","SISAK","Hrvatska"
"ravnatelj@domsvetabarbara.hr","","","Dom za starije osobe Sveta Barbara Kupljenovo","KUPLJENOVO","Hrvatska"
"markovicb874@gmail.com","","","DOM MAJA, obrt za usluge, vl. Biljana Marković, Vukovar, Slobode 28","VUKOVAR","Hrvatska"
"obiteljskidom.ivanjug@gmail.com","","","JUG IVAN OBITELJSKI DOM","REŠETARI","Hrvatska"
"info@pomocukuci-njemacka.com","","","Ustanova Elan - centar za pomoć u kući","NJEMAČKA","Hrvatska"
"info@dom-lesiv.hr","","","DOM LESIV, obrt za usluge, vl. Vesna Lesiv, Slavonski Brod, S. Radića 62","SLAVONSKI BROD","Hrvatska"
