"email","first_name","last_name","company","city","country"
"marija.bukmir@gmail.com","","","Dentalna poliklinika za parodontologiju i dentalnu protetiku dr. Bukmir","RIJEKA","Hrvatska"
"info@dental-catovic.hr","","","DENTAL CLINIC ĆATOVIĆ d.o.o. za dentalnu medicinu","PULA-POLA","Hrvatska"
"violetanimac@gmail.com","","","I.B. MILIĆ dent društvo s ograničenom odgovornošću za zdravstvene djelatnosti","RIJEKA","Hrvatska"
"david.simundic@gmail.com","","","PRIVATNA PRAKSA DENTALNOG LABORATORIJA DAVID ŠIMUNDIĆ, DENTALNI TEHNIČAR","SPLIT","Hrvatska"
"info@hsuir.hr","","","HRVATSKI SAVEZ UDRUGA INVALIDA RADA","SESVETE","Hrvatska"
"sddh@zg.t-com.hr","","","SAVEZ DRUŠTAVA DISTROFIČARA HRVATSKE","ZAGREB","Hrvatska"
"ddipula.oa@gmail.com","","","DRUŠTVO DISTROFIČARA ISTRE - PULA","KARIGADOR-CARIGADOR","Hrvatska"
"kucnapomoc@kucnapomoc.hr","","","KUĆNA POMOĆ","LOBOR","Hrvatska"
"info@dmsbpz.hr","","","DRUŠTVO MULTIPLE SKLEROZE BRODSKO-POSAVSKE ŽUPANIJE","SLAVONSKI BROD","Hrvatska"
"ured.dckvzd@gmail.com","","","'HRVATSKI CRVENI KRIŽ, ZAJEDNICA UDRUGA DRUŠTVO CRVENOG KRIŽA VARAŽDINSKE ŽUPANIJE'","SRAČINEC","Hrvatska"
"martinavondra.uosi@gmail.com","","","UDRUGA OSOBA S INVALIDITETOM DARUVAR","TRNOVITIČKI POPOVAC","Hrvatska"
"posao@saponia.hr","","","Saponia kemijska, prehrambena i farmaceutska industrija d.d.","SPLIT","Hrvatska"
"pravnasluzba@gljz.hr","","","GRADSKA LJEKARNA ZAGREB","ZAGREB","Hrvatska"
"jerkinbilje@yahoo.com","","","LJEKOVITO BILJE JERKIN j.d.o.o. za proizvodnju prirodne hrane i trgovinu","ZADAR","Hrvatska"
"ljekarna.cipcic-mirkovic1@st.t-com.hr","","","LJEKARNA SLAVKA ČIPČIĆ-MIRKOVIĆ Vl. SLAVKA ČIPČIĆ-MIRKOVIĆ","DUGOPOLJE","Hrvatska"
"ravnatelj@ljekarne-skupnjak.hr","","","LJEKARNE SKUPNJAK","VARAŽDIN","Hrvatska"
"medialis2019@gmail.com","","","Ustanova za zdravstvenu njegu i fizikalnu terapiju MEDIALIS","ZAGREB","Hrvatska"
"mak.fizio@gmail.com","","","MAK, Obrt za usluge, vl. Davor Šuvaković, Pula, Kavrerski put 7","PULA-POLA","Hrvatska"
"u_kercel@yahoo.com","","","Privatna praksa fizikalne terapije Željko Kercel, mag. physioth., Zagreb, Dubrava 108","ZAGREB-DUBRAVA","Hrvatska"
"dms_pozega@sdmsh.hr","","","Društvo multiple skleroze Požeško-slavonske županije","POŽEGA","Hrvatska"
"jasminka.baturina@gmail.com","","","USTANOVA ZA ZDRAVSTVENU NJEGU U KUĆI BATURINA","VIROVITICA","Hrvatska"
"ravnateljstvo@dzvz.hr","","","DOM ZDRAVLJA VARAŽDINSKE ŽUPANIJE","IVANEC","Hrvatska"
"dr.ziga@oxy.hr","","","POLIKLINIKA ZA BAROMEDICINU OXY","CRIKVENICA","Hrvatska"
"posao.medisal@gmail.com","","","Dom za starije osobe MEDISAL","ZAGREB","Hrvatska"
"dom-vukovic@hotmail.com","","","OBITELJSKI DOM ZA STARIJE I NEMOĆNE ""VUKOVIĆ""","DUGO SELO","Hrvatska"
"info@dompazin.hr","","","Dom za starije osobe Pazin","PAZIN","Hrvatska"
"dr.balacmilica@gmail.com","","","NJEGA I SKRB Ustanova za zdravstvenu njegu","ZAGREB","Hrvatska"
"domsimicosijek@gmail.com","","","DOM ŠIMIĆ jednostavno društvo s ograničenom odgovornošću za usluge","OSIJEK","Hrvatska"
"zdrutanja@gmail.com","","","Ustanova za zdravstvenu njegu u kući TANJA,","KAŠTEL NOVI","Hrvatska"
"ravnatelj@kuca-sv-franje.hr","","","Dom za starije i nemoćne osobe KUĆA SVETOG FRANJE","ZAGREB-NOVI ZAGREB","Hrvatska"
"domzaodraslezagreb@gmail.com","","","DOM ZA ODRASLE OSOBE ZAGREB","ZAGREB","Hrvatska"
"tajnistvo@pbl.hr","","","PSIHIJATRIJSKA BOLNICA LOPAČA","LOPAČA","Hrvatska"
"info@njega-pluzaric.hr","","","USTANOVA ZA ZDRAVSTVENU NJEGU JADRANKA PLUŽARIĆ","OSIJEK","Hrvatska"
