"email","first_name","last_name","company","city","country"
"john0Doe@gmail.com","John0","Doe","Hoogli","San Francisco","United States"
"emily.r@designatedsurvivor.com","Emily","Rhodes","ABC","San Francisco","United States"
"tom.k@designatedsurvivor.com","Tom","Kirkman","DEF","San Francisco","United States"
"charlie@twoandhalfmen.com","Charlie","Harper","GHI","San Francisco","United States"
"penny@cheesecakefactory.com","Penny","simpson","JKL","San Francisco","United States"
"jake@twoandhalfmen.com","Jake","Harper","MNO","San Francisco","United States"
"sheldoncooper@thebigbangtheory.com","Sheldon","Cooper","PQR","San Francisco","United States"
"alan@twoandhalfmen.com","Alan","Harper","STU","San Francisco","United States"
"aaron.s@designatedsurvivor.com","Aaron","Shore","VWX","San Francisco","United States"
"kendra.w@designatedsurvivor.com","Kendra","West","XYZ","San Francisco","United States"
